行政區,路權單位,申挖種類,工程類型,鋪面,修復管理費,路面修復費,施工期限_起,施工期限_止,施工面積,修復面積,施工地點
中壢區,工務局,一般,搶修,柏油,112,9292,103/06/26,103/06/27,1.4,15.75,中壢區縣道：113丙號(線)道路5公里+350公尺至5公里+350公尺[中壢市新生路南園二路口對面(NL2399079)]
觀音區,觀音區,一般,新設,柏油,2368,0,103/07/26,103/07/29,29.6,0,觀音區崙坪里140號至忠愛一段313號[挖掘至縣道112道路側溝]
觀音區,觀音區,一般,新設,柏油,128,0,103/07/22,103/07/25,1.6,0,觀音區育仁路二段169號邊號[路面加封=4*3.5=14]
平鎮區,工務局,一般,搶修,柏油,0,29736,103/06/26,103/06/27,25.2,50.4,平鎮區縣道：114號(線)道路17公里+410公尺至17公里+410公尺[平鎮市民族路雙連三段6巷口]
蘆竹區,蘆竹區,一般,檢修,柏油,4224,0,103/07/16,103/07/19,52.8,0,蘆竹區南工路1段8-2號至南工路1段8-2號
八德區,工務局,一般,新設,柏油,2240,61950,103/08/26,103/08/30,28,105,八德區鄉道：桃53號(線)道路9公里+270公尺至9公里+291公尺[八德市建國路和仁德一路口]
蘆竹區,蘆竹區,一般,新設,柏油,3456,0,103/11/11,103/11/14,43.2,0,蘆竹區仁愛路3段至仁愛路3段[(愛山街~53-1號)]
蘆竹區,蘆竹區,一般,新設,柏油,6560,0,103/10/13,103/10/16,82,0,蘆竹區仁愛路3段至仁愛路3段[(中山路~愛山街)]
蘆竹區,蘆竹區,一般,新設,柏油,2432,0,103/10/06,103/10/09,30.4,0,蘆竹區仁愛路2段15號至仁愛路2段21號
中壢區,中壢區,一般,新設,柏油,1152,32560,103/08/13,103/08/17,14.4,88,中壢區榮民南路170號[168.170兩戶]
中壢區,中壢區,一般,新設,柏油,1280,54205,103/07/18,103/07/22,16,146.5,中壢區培英路253號
蘆竹區,蘆竹區,一般,其它,柏油,512,0,103/09/06,103/09/09,6.4,0,蘆竹區中興一街83號[旁]
桃園區,工務局,一般,抽換,柏油,44256,2354100,103/11/01,103/12/27,553.2,3990,桃園區鄉道：桃57號(線)道路0公里+0公尺至0公里+380公尺[桃鶯路至和平路1490號(大仁路)]
中壢區,工務局,一般,新設,柏油,832,38350,103/08/22,103/08/25,10.4,65,中壢區鄉道：桃48號(線)道路2公里+914公尺至2公里+927公尺[中壢市新中北路二段165號]
中壢區,中壢區,一般,新設,柏油,2176,53280,103/08/13,103/08/17,27.2,144,中壢區內定里內定五街50巷12弄1號至內定五街50巷91號
中壢區,中壢區,一般,新設,柏油,576,14060,103/08/13,103/08/17,7.2,38,中壢區中里信義路92號至信義94號
中壢區,中壢區,一般,新設,柏油,3648,75110,103/08/11,103/08/15,45.6,203,中壢區振興里龍岡路3段124巷45弄2號至龍岡3段124巷45弄2號[附近]
觀音區,工務局,一般,搶修,柏油,624,5522,103/06/24,103/06/25,7.8,9.36,觀音區鄉道：桃97號(線)道路1公里+780公尺至1公里+784公尺[大堀村大湖路２段４３０巷巷口]
大園區,大園區,一般,新設,柏油,13440,0,103/07/26,103/07/29,168,0,大園區圳頭里11鄰號[路面加封=4.7*210=987]
蘆竹區,工務局,一般,搶修,柏油,458,9912,103/06/24,103/06/25,5.72,16.8,蘆竹區鄉道：桃3號(線)道路1公里+500公尺至1公里+500公尺[蘆竹鄉南山北路二段108號前]
龜山區,工務局,一般,搶修,柏油,1680,17759,103/06/26,103/06/26,21,30.1,龜山區縣道：105號(線)道路16公里+900公尺至16公里+900公尺
中壢區,中壢區,一般,搶修,柏油,960,10175,103/06/24,103/06/25,12,27.5,中壢區中美路二段與中豐路口號
中壢區,工務局,一般,搶修,柏油,0,4720,103/06/25,103/06/26,4.8,8,中壢區縣道：113號(線)道路16公里+100公尺至16公里+100公尺[中壢市中豐路與中美路二段口]
中壢區,中壢區,一般,搶修,柏油,320,7400,103/06/24,103/06/24,4,20,中壢區環中東路708巷53號
中壢區,中壢區,一般,搶修,柏油,744,10175,103/06/25,103/06/25,9.3,27.5,中壢區新興路132號[前]
中壢區,中壢區,一般,搶修,柏油,896,16650,103/06/22,103/06/22,11.2,45,中壢區興仁路2段[與興安一街]
平鎮區,平鎮區,一般,搶修,柏油,600,17760,103/06/18,103/06/18,7.5,48,平鎮區復旦路2段117巷27弄27號
中壢區,中壢區,一般,遷移,柏油,1440,378510,103/08/12,103/08/20,18,1023,中壢區新興路104號[包含102巷及東興街]
中壢區,中壢區,一般,孔蓋昇降,柏油,96,0,103/07/08,103/07/12,1.2,0,中壢區元化路路二段120號至元化路二段270號[中壢市元化路二段(中豐路至民權路)]
中壢區,中壢區,一般,新設,柏油,160,7680,103/08/05,103/08/09,2,8,中壢區環北路383號[383號旁(人行道)]
中壢區,工務局,一般,新設,柏油,512,17552,103/08/26,103/08/29,6.4,29.75,中壢區鄉道：桃48號(線)道路2公里+700公尺至2公里+700公尺[新中北路2段47號旁]
觀音區,工務局,一般,新設,柏油,192,11151,103/08/05,103/08/08,2.4,18.9,觀音區鄉道：桃84號(線)道路1公里+400公尺至1公里+400公尺[觀音鄉新華路2段121號邊]
龍潭區,龍潭區,一般,搶修,柏油,80,3885,103/06/26,103/06/26,1,10.5,龍潭區龍華路至中正路194巷
龍潭區,龍潭區,一般,搶修,柏油,192,14800,103/06/19,103/06/20,2.4,40,龍潭區新生路64號至新生64號[NL2356221]
平鎮區,平鎮區,一般,搶修,柏油,192,56240,103/06/21,103/06/22,2.4,152,平鎮區文化街53號至廣德街78巷24號[NL2396050]
平鎮區,平鎮區,一般,搶修,柏油,192,5920,103/06/26,103/06/27,2.4,16,平鎮區民族路二段127號至民族二段127號[N2396122]
中壢區,中壢區,一般,搶修,柏油,192,8880,103/06/19,103/06/20,2.4,24,中壢區龍昌路161巷15號至龍昌161巷15號[NL2396131]
中壢區,中壢區,一般,搶修,柏油,320,20720,103/06/18,103/06/19,4,56,中壢區圓光一路228號至圓光一228號[NL2396133]
中壢區,中壢區,一般,新設,柏油,128,7200,103/08/05,103/08/09,1.6,7.5,中壢區洽溪里領航北路2段2號[2號旁]
大溪區,大溪區,一般,新設,柏油,128,5550,103/08/18,103/08/22,1.6,15,大溪區[三塊厝11之12號斜對面]
平鎮區,平鎮區,一般,搶修,柏油,260,19425,103/06/24,103/06/25,3.25,52.5,平鎮區南豐路路108巷21號
大溪區,大溪區,一般,新設,柏油,192,4440,103/08/18,103/08/22,2.4,12,大溪區登龍路20巷1號
觀音區,工務局,一般,新設,柏油,480,12390,103/09/01,103/09/04,6,21,觀音區鄉道：桃30號(線)道路0公里+0公尺至0公里+0公尺[草漯重劃區莊ㄧ街]
中壢區,中壢區,一般,新設,柏油,4056,78995,103/07/21,103/07/25,50.7,213.5,中壢區元化路157號
中壢區,中壢區,一般,新設,柏油,672,12950,103/09/22,103/09/26,8.4,35,中壢區中正路301號
中壢區,中壢區,一般,新設,柏油,1248,40700,103/07/21,103/07/25,15.6,110,中壢區中央西路1段168號
蘆竹區,蘆竹區,一般,檢修,柏油,192,0,103/08/09,103/08/12,2.4,0,蘆竹區仁愛路三段560巷7號
八德區,八德區,一般,檢修,柏油,768,0,103/08/08,103/08/11,9.6,0,八德區寶豐街12號[一帶]
大園區,大園區,一般,新設,柏油,320,14486,103/07/14,103/07/17,4,39.15,大園區橫峰里橫山路21-2號[路面加封=8.7*4.5=39.15]
大園區,大園區,一般,新設,柏油,160,6327,103/07/08,103/07/11,2,17.1,大園區橫峰里平安路4鄰72號[路面加封=3.8*4.5=17.1]
八德區,工務局,一般,抽換,柏油,760,30975,103/08/18,103/08/22,9.5,52.5,八德區鄉道：桃51號(線)道路2公里+970公尺至2公里+973公尺[八德市永豐路375號前]
觀音區,觀音區,一般,新設,柏油,640,0,103/08/18,103/08/21,8,0,觀音區草漯里五福一街25~31號[路面加封=11*7+4.6*3.5=93.1]
桃園區,工務局,一般,檢修,柏油,192,4130,103/08/30,103/09/02,2.4,7,桃園區縣道：110號(線)道路11公里+920公尺至11公里+923公尺[永安路1186號旁]
觀音區,觀音區,一般,新設,柏油,128,0,103/07/15,103/07/18,1.6,0,觀音區藍埔里13鄰樹子腳21號[路面加封=2.5*3.5=8.75]
觀音區,觀音區,一般,新設,柏油,256,0,103/07/15,103/07/18,3.2,0,觀音區新坡里10鄰張厝123號[路面加封=4*3.5=14]
觀音區,工務局,一般,新設,柏油,576,20650,103/08/05,103/08/08,7.2,35,觀音區鄉道：桃89號(線)道路3公里+300公尺至3公里+300公尺[觀音鄉保生村16鄰兩座屋32號]
觀音區,工務局,一般,新設,柏油,128,11151,103/08/05,103/08/08,1.6,18.9,觀音區鄉道：桃33號(線)道路1公里+100公尺至1公里+100公尺[觀音鄉保障村2鄰草漯11號]
中壢區,中壢區,一般,新設,柏油,320,5920,103/07/18,103/07/22,4,16,中壢區中正路4段225巷61弄邊號
八德區,八德區,一般,新設,柏油,128,0,103/08/01,103/08/04,1.6,0,八德區白鷺里合興街67號
中壢區,工務局,一般,新設,柏油,672,7228,103/09/15,103/09/18,8.4,12.25,中壢區鄉道：桃43-1號(線)道路3公里+965公尺至3公里+968公尺[中壢市聖德路2段375巷口]
中壢區,中壢區,一般,新設,柏油,12000,131572,103/08/11,103/08/15,150,355.6,中壢區聖德路2段375巷0號
楊梅區,楊梅區,一般,新設,柏油,2240,44030,103/09/01,103/09/05,28,119,楊梅區長青路41號
楊梅區,楊梅區,一般,新設,柏油,4080,0,103/08/25,103/08/28,51,0,楊梅區新明街64號[正義街口至集義廟前]
大園區,工務局,一般,新設,柏油,160,6195,103/08/05,103/08/08,2,10.5,大園區縣道：113號(線)道路3公里+150公尺至3公里+150公尺[大園鄉中山南路239號]
觀音區,工務局,一般,新設,柏油,416,14455,103/08/05,103/08/08,5.2,24.5,觀音區鄉道：桃32號(線)道路3公里+150公尺至3公里+150公尺[觀音鄉富林村玉林路2段67號邊]
大園區,大園區,一般,新設,柏油,240,12488,103/07/14,103/07/17,3,33.75,大園區大園里中正東路34號邊號[路面加封=7.5*4.5=33.75]
大園區,大園區,一般,新設,柏油,240,8492,103/07/14,103/07/17,3,22.95,大園區五權里五青路70巷297號[路面加封=5.1*4.5=22.95]
大溪區,大溪區,一般,其它,柏油,192,6475,103/08/25,103/08/29,2.4,17.5,大溪區仁和路2段190巷318號至仁和2段190巷318號[旁]
大溪區,大溪區,一般,其它,柏油,1536,46620,103/08/25,103/08/29,19.2,126,大溪區公園三街175號至公園三175號[旁]
大溪區,大溪區,一般,其它,柏油,448,13320,103/08/25,103/08/29,5.6,36,大溪區慈光街167號至慈光街167號[旁]
大溪區,大溪區,一般,其它,柏油,128,4995,103/08/25,103/08/29,1.6,13.5,大溪區長興東街30號至長興東街30號[旁]
楊梅區,楊梅區,一般,搶修,柏油,480,12025,103/06/23,103/06/24,6,32.5,楊梅區[楊新路53號]
大溪區,大溪區,一般,其它,柏油,320,9990,103/08/25,103/08/29,4,27,大溪區仁德街85號至仁德街85號[旁]
大園區,大園區,一般,新設,柏油,160,14152,103/07/20,103/07/23,2,38.25,大園區大仁路口號[與大豐二街口]
大園區,大園區,一般,新設,柏油,160,14152,103/07/20,103/07/23,2,38.25,大園區大仁路口號[與大豐二街]
觀音區,觀音區,一般,新設,柏油,320,0,103/07/15,103/07/18,4,0,觀音區保生里18鄰兩座屋58號對面號[路面加封=7.4*3.5=25.9]
中壢區,中壢區,一般,新設,柏油,192,5920,103/08/13,103/08/17,2.4,16,中壢區普忠路770巷95號
中壢區,工務局,一般,新設,柏油,192,11358,103/08/12,103/08/15,2.4,19.25,中壢區縣道：110甲號(線)道路10公里+50公尺至10公里+50公尺[延平路281號]
八德區,工務局,一般,搶修,柏油,192,6195,103/06/19,103/06/20,2.4,10.5,八德區縣道：114號(線)道路8公里+124公尺至8公里+127公尺[新屋鄉中山西路一段36號(NL2396087)]
八德區,八德區,一般,檢修,柏油,640,0,103/07/22,103/07/25,8,0,八德區富榮街31號[旁路口對面]
蘆竹區,工務局,一般,孔蓋昇降,柏油,144,4130,103/08/09,103/08/12,1.8,7,蘆竹區鄉道：桃49號(線)道路2公里+320公尺至2公里+322公尺[龍安街二段999號旁]
蘆竹區,蘆竹區,一般,檢修,柏油,192,0,103/07/19,103/07/22,2.4,0,蘆竹區南崁路267號[一帶]
八德區,工務局,一般,孔蓋昇降,柏油,432,21682,103/08/08,103/08/11,5.4,36.75,八德區縣道：114號(線)道路34公里+600公尺至34公里+640公尺[興豐路2149號旁]
平鎮區,平鎮區,一般,新設,柏油,192,7770,103/07/20,103/07/22,2.4,21,平鎮區洪圳路387號[387號對面]
桃園區,工務局,一般,孔蓋昇降,柏油,288,8260,103/08/08,103/08/11,3.6,14,桃園區縣道：110號(線)道路16公里+550公尺至16公里+620公尺[春日路122至150號一帶]
八德區,八德區,一般,新設,柏油,192,0,103/07/22,103/07/25,2.4,0,八德區忠勇二街108號[對面與忠勇二街108號對面]
中壢區,中壢區,一般,新設,柏油,192,5920,103/08/05,103/08/09,2.4,16,中壢區過嶺里福田路12號
蘆竹區,工務局,一般,新設,柏油,768,27258,103/08/03,103/08/06,9.6,46.2,蘆竹區鄉道：桃42號(線)道路0公里+512公尺至0公里+512公尺[蘆竹鄉大新路778號]
八德區,八德區,一般,新設,柏油,128,0,103/07/21,103/07/24,1.6,0,八德區博愛街27號
平鎮區,平鎮區,一般,搶修,柏油,576,27300,103/06/16,103/06/17,7.2,42,平鎮區環南路2號至環南2號[NL2341105]
中壢區,中壢區,一般,其它,柏油,320,15540,103/08/01,103/08/05,4,42,中壢區中正路796號
中壢區,中壢區,一般,其它,柏油,1152,26640,103/08/01,103/08/05,14.4,72,中壢區雙福路41巷
大園區,大園區,一般,新設,柏油,160,4995,103/07/03,103/07/06,2,13.5,大園區內海里6鄰內海墘64-2號[路面加封=3*4.5=13.5]
中壢區,中壢區,一般,新設,柏油,5200,124875,103/07/15,103/07/28,65,337.5,中壢區復興路[和中正路口至興建街口]
平鎮區,平鎮區,一般,新設,柏油,7008,142746,103/08/12,103/08/15,87.6,385.8,平鎮區北安里康樂路25巷
八德區,八德區,一般,新設,柏油,1280,0,103/07/30,103/08/02,16,0,八德區廣豐二街[和公園路口]
楊梅區,楊梅區,一般,新設,柏油,160,5920,103/07/22,103/07/23,2,16,楊梅區員本里民生街375巷60號
新屋區,新屋區,一般,新設,柏油,128,0,103/07/28,103/07/31,1.6,0,新屋區三民路583號[旁]
楊梅區,楊梅區,一般,新設,柏油,160,5920,103/08/04,103/08/06,2,16,楊梅區楊湖路3段619巷40弄23號
楊梅區,楊梅區,一般,新設,柏油,240,18500,103/08/04,103/08/06,3,50,楊梅區東流里甡甡路534號
楊梅區,楊梅區,一般,新設,柏油,160,4440,103/07/21,103/07/23,2,12,楊梅區梅溪里三民北路26巷27號
楊梅區,楊梅區,一般,新設,柏油,480,28490,103/08/04,103/08/06,6,77,楊梅區瑞福街58號[邊]
新屋區,新屋區,一般,新設,柏油,320,0,103/07/28,103/07/31,4,0,新屋區望間里[10鄰十五間48-3號]
新屋區,新屋區,一般,新設,柏油,128,0,103/07/28,103/07/31,1.6,0,新屋區永興里[7鄰大牛欄22-5號]
楊梅區,楊梅區,一般,新設,柏油,320,10360,103/08/04,103/08/06,4,28,楊梅區楊湖路2段1巷1438弄189-1號
平鎮區,平鎮區,一般,新設,柏油,128,2590,103/08/01,103/08/04,1.6,7,平鎮區南平路2段32巷19號[旁]
平鎮區,平鎮區,一般,新設,柏油,320,6475,103/08/01,103/08/04,4,17.5,平鎮區湧安里頂好街24巷5號至頂好街24巷16號
中壢區,中壢區,一般,新設,柏油,192,5920,103/07/18,103/07/22,2.4,16,中壢區五光一街91號[91號對面]
楊梅區,楊梅區,一般,新設,柏油,160,4440,103/08/04,103/08/06,2,12,楊梅區仁美里日新街99號
八德區,八德區,一般,新設,柏油,128,0,103/08/03,103/08/06,1.6,0,八德區白鷺里合興街94號
平鎮區,平鎮區,一般,新設,柏油,192,4551,103/07/21,103/07/23,2.4,12.3,平鎮區金陵路3段南陽巷10號
八德區,八德區,一般,新設,柏油,192,0,103/08/01,103/08/04,2.4,0,八德區白鷺里合興街76號
中壢區,中壢區,一般,新設,柏油,128,7680,103/08/05,103/08/09,1.6,8,中壢區民權路4段495號[495號斜對面(人行道)]
中壢區,中壢區,一般,新設,柏油,768,17760,103/08/11,103/08/15,9.6,48,中壢區興隆六街29巷8號
龍潭區,龍潭區,一般,搶修,柏油,160,4440,103/06/21,103/06/21,2,12,龍潭區永福路395號至永福路395號
大溪區,工務局,一般,搶修,柏油,160,12390,103/06/23,103/06/24,2,21,大溪區鄉道：桃56號(線)道路0公里+200公尺至0公里+202公尺
中壢區,中壢區,一般,搶修,柏油,264,5180,103/06/21,103/06/21,3.3,14,中壢區新中北路34巷9號
中壢區,中壢區,一般,搶修,柏油,480,9250,103/06/21,103/06/21,6,25,中壢區新中北路58巷2弄4號
觀音區,工務局,一般,搶修,柏油,640,4720,103/06/20,103/06/20,8,8,觀音區鄉道：桃83號(線)道路4公里+800公尺至4公里+800公尺[觀音鄉新富路1262巷口對面]
大園區,大園區,一般,搶修,柏油,720,7492,103/06/22,103/06/22,9,20.25,大園區[大牛稠3之12號旁]
蘆竹區,工務局,一般,搶修,柏油,893,11682,103/06/20,103/06/21,11.16,19.8,蘆竹區鄉道：桃1號(線)道路2公里+200公尺至2公里+200公尺[蘆竹鄉海湖東路303號前]
中壢區,工務局,一般,新設,柏油,192,10325,103/08/10,103/08/13,2.4,17.5,中壢區鄉道：桃45號(線)道路7公里+0公尺至7公里+0公尺[民權路3段1391號對面]
平鎮區,平鎮區,一般,新設,柏油,192,7141,103/07/21,103/07/23,2.4,19.3,平鎮區新貴里關爺南路96巷17號
八德區,八德區,一般,新設,柏油,192,0,103/07/14,103/07/17,2.4,0,八德區介壽路二段417巷28弄5號
平鎮區,工務局,一般,新設,柏油,2720,74340,103/08/18,103/08/22,34,126,平鎮區縣道：112號(線)道路20公里+337公尺至20公里+368公尺[平鎮市環南路三段102巷口]
中壢區,工務局,一般,搶修,柏油,0,9292,103/06/21,103/06/21,12,15.75,中壢區鄉道：桃48號(線)道路0公里+900公尺至0公里+900公尺[中壢市新中北路401號]
八德區,八德區,一般,其它,柏油,640,0,103/08/19,103/08/22,8,0,八德區忠勇街327號至忠勇街328號[對面2處]
大園區,大園區,一般,新設,柏油,960,36260,103/08/11,103/08/14,12,98,大園區橫峰里大華一街59號至大華一街59號[旁]
龜山區,工務局,一般,孔蓋昇降,柏油,144,7228,103/08/09,103/08/12,1.8,12.25,龜山區鄉道：桃6號(線)道路11公里+810公尺至11公里+812公尺[大坑路三段538號對面]
蘆竹區,蘆竹區,一般,新設,柏油,1344,0,103/08/21,103/08/24,16.8,0,蘆竹區興中街9號至興中街15巷[交叉口]
蘆竹區,蘆竹區,一般,新設,柏油,1400,0,103/08/21,103/08/24,17.5,0,蘆竹區大福路至大新三街[交叉口]
平鎮區,平鎮區,一般,新設,柏油,192,6475,103/07/28,103/07/30,2.4,17.5,平鎮區新貴里中豐路670巷21弄36號
中壢區,中壢區,一般,新設,柏油,128,5180,103/08/13,103/08/17,1.6,14,中壢區仁德里幸福新村街81號
平鎮區,平鎮區,一般,新設,柏油,192,9065,103/07/28,103/07/30,2.4,24.5,平鎮區北安里承德路111號
中壢區,中壢區,一般,新設,柏油,192,8140,103/08/01,103/08/04,2.4,22,中壢區明德里惠州街38號
中壢區,中壢區,一般,新設,柏油,128,2960,103/08/13,103/08/17,1.6,8,中壢區仁德里幸福新村街47號
蘆竹區,工務局,一般,搶修,柏油,144,4130,103/06/21,103/06/21,1.8,7,蘆竹區鄉道：桃49號(線)道路1公里+250公尺至1公里+252公尺[龍安街二段1343號]
楊梅區,工務局,一般,檢修,柏油,384,12390,103/08/09,103/08/12,4.8,21,楊梅區縣道：115號(線)道路15公里+766公尺至15公里+874公尺[楊梅市大成路203號與165號對面間(nl2396025)]
新屋區,工務局,一般,搶修,柏油,403,7434,103/06/18,103/06/19,5.04,12.6,新屋區鄉道：桃107號(線)道路1公里+800公尺至1公里+800公尺[新屋鄉望間村107縣1K+800]
平鎮區,工務局,一般,搶修,柏油,832,23010,103/06/16,103/06/17,10.4,39,平鎮區縣道：114號(線)道路20公里+269公尺至20公里+281公尺[平鎮市民族路二段與環南路口(NL2341105)]
楊梅區,工務局,一般,搶修,柏油,192,6195,103/06/16,103/06/17,2.4,10.5,楊梅區鄉道：桃72號(線)道路2公里+378公尺至2公里+380公尺[楊梅市幼獅路一段與永平路口(NL2257619)]
平鎮區,平鎮區,一般,搶修,柏油,128,19980,103/06/14,103/06/15,1.6,54,平鎮區上海路211巷至上海211巷[NL2396092]
中壢區,中壢區,一般,其它,柏油,832,33300,103/08/11,103/08/15,10.4,90,中壢區中央里中山路2巷11號至中山2巷11號[旁]
中壢區,中壢區,一般,搶修,柏油,448,19980,103/06/11,103/06/12,5.6,54,中壢區內定五街50巷至內定五街50巷12弄[NL2396054]
中壢區,中壢區,一般,新設,柏油,192,5920,103/08/13,103/08/17,2.4,16,中壢區普忠路770巷97號
八德區,八德區,一般,新設,柏油,192,0,103/08/01,103/08/04,2.4,0,八德區白鷺里合興街76號
中壢區,中壢區,一般,搶修,柏油,288,9250,103/06/18,103/06/18,3.6,25,中壢區立德西街50號
中壢區,工務局,一般,搶修,柏油,480,11358,103/06/18,103/06/18,6,19.25,中壢區鄉道：桃47號(線)道路8公里+750公尺至8公里+750公尺[中壢市興仁路二段與永福路口]
新屋區,工務局,一般,新設,柏油,512,16520,103/08/04,103/08/07,6.4,28,新屋區鄉道：桃84號(線)道路4公里+20公尺至4公里+20公尺[新屋鄉新華路一段262號]
龍潭區,龍潭區,一般,搶修,柏油,260,0,103/06/19,103/06/20,3.25,0,龍潭區民有路至民有二街[龍潭鄉民有路近民有二街前50公尺處]
新屋區,工務局,一般,新設,柏油,320,16520,103/08/05,103/08/08,4,28,新屋區縣道：115號(線)道路6公里+500公尺至6公里+500公尺[新屋鄉清華村中華路783號]
大園區,大園區,一般,新設,柏油,160,7826,103/08/01,103/08/04,2,21.15,大園區圳頭里11鄰33-7號[路面加封=4.7*4.5=21.15]
大園區,大園區,一般,新設,柏油,240,7826,103/08/01,103/08/04,3,21.15,大園區圳頭里11鄰33-6號[路面加封=4.7*4.5=21.15]
大園區,大園區,一般,新設,柏油,160,7826,103/08/01,103/08/04,2,21.15,大園區圳頭里古亭11鄰33-5號[路面加封=4.7*4.5=21.15]
龍潭區,龍潭區,一般,搶修,柏油,80,4440,103/06/18,103/06/18,1,12,龍潭區中興路216巷23號至中興路216巷23號
楊梅區,工務局,一般,新設,柏油,192,9292,103/08/04,103/08/07,2.4,15.75,楊梅區縣道：115號(線)道路16公里+900公尺至16公里+900公尺[楊梅市秀才路82號]
楊梅區,工務局,一般,搶修,柏油,101,7228,103/06/17,103/06/18,1.26,12.25,楊梅區縣道：115號(線)道路16公里+80公尺至16公里+80公尺[楊梅市大成路137號]
中壢區,中壢區,一般,新設,柏油,128,5920,103/08/13,103/08/17,1.6,16,中壢區龍仁路32巷7號
中壢區,中壢區,一般,新設,柏油,128,6216,103/08/13,103/08/17,1.6,16.8,中壢區吉林路105巷巷22號號
觀音區,工務局,一般,新設,柏油,96,6195,103/09/01,103/09/04,1.2,10.5,觀音區鄉道：桃99號(線)道路0公里+0公尺至0公里+0公尺[觀音鄉德一街與福德街口]
八德區,八德區,一般,遷移,柏油,544,0,103/08/19,103/08/22,6.8,0,八德區福豐南街7號至福豐南街9號[如圖2處]
桃園區,工務局,一般,搶修,柏油,243,3098,103/06/17,103/06/18,3.04,5.25,桃園區縣道：110號(線)道路12公里+650公尺至12公里+650公尺
楊梅區,工務局,一般,搶修,柏油,272,7228,103/06/17,103/06/18,3.4,12.25,楊梅區鄉道：桃110號(線)道路8公里+800公尺至8公里+800公尺[楊梅市民富路一段37號前]
大溪區,大溪區,一般,搶修,柏油,360,10175,103/06/18,103/06/19,4.5,27.5,大溪區慈光街145號至慈光街145號
中壢區,中壢區,一般,新設,柏油,192,6660,103/08/13,103/08/17,2.4,18,中壢區內定里內定十二街168號
楊梅區,楊梅區,一般,新設,柏油,160,7400,103/07/22,103/07/25,2,20,楊梅區新榮里電研路226巷57號
楊梅區,楊梅區,一般,遷移,柏油,800,17760,103/10/06,103/10/14,10,48,楊梅區裕成路158巷1弄1號
中壢區,中壢區,一般,新設,柏油,960,31080,103/07/08,103/07/12,12,84,中壢區中美路一段12號[恩德街口]
中壢區,中壢區,一般,搶修,柏油,704,22200,103/06/13,103/06/14,8.8,60,中壢區龍東路445巷271弄至龍東445巷43弄19衖[NL2358389]
中壢區,中壢區,一般,搶修,柏油,384,35520,103/06/13,103/06/14,4.8,96,中壢區華勛街208巷68號至華勛街208巷137號[NL2396030]
楊梅區,楊梅區,一般,搶修,柏油,720,44400,103/06/16,103/06/17,9,120,楊梅區新榮路57巷8號至新榮57巷18號[NL2396101]
楊梅區,楊梅區,一般,搶修,柏油,240,20720,103/06/11,103/06/12,3,56,楊梅區楊湖路一段773巷28號至楊湖一段773巷28號[NL2396137]
大園區,大園區,一般,搶修,柏油,320,7492,103/06/17,103/06/17,4,20.25,大園區圳頭里[5鄰25號]
平鎮區,平鎮區,一般,搶修,柏油,1120,16650,103/06/16,103/06/16,14,45,平鎮區振興路95號
中壢區,中壢區,一般,搶修,柏油,864,16280,103/06/17,103/06/17,10.8,44,中壢區中正路716號
中壢區,中壢區,一般,搶修,柏油,480,9250,103/06/17,103/06/17,6,25,中壢區龍川街166號
新屋區,工務局,一般,新設,柏油,192,7228,103/08/14,103/08/17,2.4,12.25,新屋區縣道：114號(線)道路9公里+500公尺至9公里+500公尺
平鎮區,平鎮區,一般,新設,柏油,10816,0,103/07/02,103/07/05,135.2,0,平鎮區鎮興里中興路平鎮段95巷巷68弄至中興平鎮段95巷巷68弄
龜山區,工務局,一般,遷移,柏油,384,12390,103/08/22,103/08/25,4.8,21,龜山區鄉道：桃7號(線)道路5公里+444公尺至5公里+444公尺[龜山鄉振興路與東舊路街口]
八德區,八德區,一般,新設,柏油,403,0,103/07/28,103/07/31,5.04,0,八德區豐田七街[近豐田六路口]
八德區,八德區,一般,新設,柏油,1240,0,103/07/28,103/07/31,15.5,0,八德區仁德一路[和溝後街口]
八德區,八德區,一般,新設,柏油,1024,0,103/07/28,103/07/31,12.8,0,八德區中山路[和豐德路口]
八德區,八德區,一般,新設,柏油,896,0,103/07/28,103/07/31,11.2,0,八德區仁德五路[近豐田路口]
龍潭區,龍潭區,一般,新設,柏油,1040,20350,103/08/18,103/08/21,13,55,龍潭區[綠園山莊15號旁]
八德區,八德區,一般,新設,柏油,128,0,103/07/14,103/07/17,1.6,0,八德區寶豐街10號
蘆竹區,工務局,一般,檢修,柏油,384,18585,103/10/22,103/10/25,4.8,31.5,蘆竹區縣道：108號(線)道路8公里+375公尺至8公里+380公尺
蘆竹區,蘆竹區,一般,新設,柏油,128,0,103/08/01,103/08/04,1.6,0,蘆竹區新生路289巷22弄11號
八德區,八德區,一般,新設,柏油,3200,0,103/07/11,103/07/14,40,0,八德區大福街53巷13弄15號至大福街53巷13弄2號
蘆竹區,蘆竹區,一般,新設,柏油,128,0,103/08/01,103/08/04,1.6,0,蘆竹區中興四街2巷22號[對面]
平鎮區,平鎮區,一般,新設,柏油,128,5180,103/07/22,103/07/25,1.6,14,平鎮區龍恩里龍泉一街29巷24弄10號[10號邊]
中壢區,工務局,一般,新設,柏油,192,9292,103/08/10,103/08/13,2.4,15.75,中壢區鄉道：桃43號(線)道路5公里+800公尺至5公里+800公尺[月眉路3段306號旁]
